task_id,title,workstream,phase,month_target,priority,status,owner,dependencies,acceptance,evidence_file,notes
FLOW-03,Validate memory-driven continuation loop with feedback effect.,ux_flow_validation,ux_flow_validation,,P2,done,UX,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/FLOW-03.md,checklist
FLOW-04,Validate heavy permission queue flow under restart scenarios.,ux_flow_validation,ux_flow_validation,,P2,done,UX,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/FLOW-04.md,checklist
FLOW-05,Validate workflow pack execution + resume/cancel path.,ux_flow_validation,ux_flow_validation,,P2,done,UX,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/FLOW-05.md,checklist
VAL-U01,Provider taxonomy mapping,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-U01.md,checklist
VAL-U02,Retry/backoff/idempotency math,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-U02.md,checklist
VAL-U03,Memory scoring/contradiction filtering,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-U03.md,checklist
VAL-U04,Branch merge conflict logic,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-U04.md,checklist
VAL-U05,Policy reason-code mapping,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-U05.md,checklist
VAL-I01,Tauri command -> sidecar IPC v2 path,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-I01.md,checklist
VAL-I02,Checkpoint write/read + resume,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-I02.md,checklist
VAL-I03,Memory migration from file source,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-I03.md,checklist
VAL-I04,Workflow node resume with retries,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-I04.md,checklist
VAL-I05,Secure credential migration,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-I05.md,checklist
VAL-E01,Onboarding simple flow,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E01.md,checklist
VAL-E02,Stream stall + recovery,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E02.md,checklist
VAL-E03,Permission queue with restart,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E03.md,checklist
VAL-E04,Memory inspector edit/pin/delete/retrieval effect,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E04.md,checklist
VAL-E05,Branch create/merge lifecycle,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E05.md,checklist
VAL-E06,Workflow build/run/resume lifecycle,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E06.md,checklist
VAL-E07,Browser blocker + recovery path,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-E07.md,checklist
VAL-B01,Coding multi-file edits,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B01.md,checklist
VAL-B02,Reliability chaos (network/provider),validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B02.md,checklist
VAL-B03,Memory recall/contamination resistance,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B03.md,checklist
VAL-B04,Research citation quality,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B04.md,checklist
VAL-B05,Browser completion/safety behavior,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B05.md,checklist
VAL-B06,Enterprise policy compliance,validation_matrix,validation,11,P1,done,QA,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/VAL-B06.md,checklist
REL-01,Internal feature flags enabled for controlled hardening.,release_controls,release,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/REL-01.md,checklist
REL-02,Benchmark/checklist/security/crash-free hard gate automation active.,release_controls,release,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/REL-02.md,checklist
REL-03,Enforce release slip policy when any gate fails.,release_controls,release,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/REL-03.md,checklist
REL-04,Freeze launch change window and bug severity policy.,release_controls,release,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/REL-04.md,checklist
REL-05,Execute final release gate and archive evidence bundle.,release_controls,release,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/REL-05.md,checklist
RISK-01,Big-bang integration complexity mitigation tracking.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-01.md,checklist
RISK-02,Memory migration corruption dry-run and backup tests.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-02.md,checklist
RISK-03,Provider API drift monitoring + fallback drills.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-03.md,checklist
RISK-04,UI complexity creep reviews for simple/pro parity.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-04.md,checklist
RISK-05,Benchmark overfitting prevention via hidden holdout checks.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-05.md,checklist
RISK-06,Security regression pre-release audit enforcement.,risk_register,risk,,P2,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/RISK-06.md,checklist
DOD-01,All workstream tasks `R1`..`Q10` complete.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-01.md,checklist
DOD-02,All new commands/types/events documented and tested.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-02.md,checklist
DOD-03,Migration passes on clean + legacy datasets.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-03.md,checklist
DOD-04,3 consecutive benchmark passes meet thresholds.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-04.md,checklist
DOD-05,No open P0/P1 defects.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-05.md,checklist
DOD-06,Security audit unresolved critical/high = 0.,definition_of_done,done_gate,12,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/DOD-06.md,checklist

